Sno,time,distance,Diffusion
130,279.7546012,0.000497376,Db
131,581.595092,0.007253982,Dgb
132,137.4233129,0.003526114,Dgb
133,458.8957055,0.00063702,Db
134,396.3190184,0.005988093,Dgb
135,109.202454,0.000310751,Db
136,68.71165644,0.002493339,Dgb
137,294.4785276,0.000510297,Db
138,130.0613497,0.003430364,Dgb
139,314.1104294,0.000527032,Db
140,164.4171779,0.000381302,Db
141,105.5214724,0.003089844,Dgb
142,58.89570552,0.000228212,Db
143,503.0674847,0.006746511,Dgb
144,440.4907975,0.000624115,Db
145,323.9263804,0.000535204,Db
146,299.3865031,0.005204538,Dgb
147,176.6871166,0.000395274,Db
148,357.0552147,0.005683735,Dgb
149,538.6503067,0.000690159,Db
150,528.8343558,0.000683842,Db
151,381.595092,0.005875807,Dgb
152,63.80368098,0.00023753,Db
153,472.392638,0.00064632,Db
154,242.9447853,0.0004635,Db
155,449.0797546,0.006374232,Dgb
156,425.7668712,0.000613595,Db
157,482.208589,0.000653,Db
158,317.791411,0.005362128,Dgb
159,564.4171779,0.007146053,Dgb
160,137.4233129,0.000348599,Db
161,40.49079755,0.00191401,Dgb
162,72.39263804,0.002559254,Dgb
163,244.1717791,0.000464669,Db
164,375.4601227,0.005828382,Dgb
165,322.6993865,0.005403376,Dgb
166,117.791411,0.00032274,Db
167,45.39877301,0.002026694,Dgb
168,217.1779141,0.004432757,Dgb
169,249.0797546,0.000469316,Db
170,138.6503067,0.000350152,Db
171,88.34355828,0.000279501,Db
172,196.3190184,0.000416656,Db
173,146.0122699,0.000359328,Db
174,274.8466258,0.004986678,Dgb
175,61.34969325,0.002355984,Dgb
176,100.6134969,0.003017131,Dgb
177,132.5153374,0.000342317,Db
178,494.4785276,0.006688671,Dgb
179,209.8159509,0.004356978,Dgb
180,105.5214724,0.000305468,Db
181,312.8834356,0.005320561,Dgb
182,24.5398773,0.001490055,Dgb
183,180.3680982,0.00039937,Db
184,277.3006135,0.000495189,Db
185,457.6687117,0.000636168,Db
186,514.1104294,0.006820156,Dgb
187,292.0245399,0.000508166,Db
188,512.8834356,0.00067345,Db
189,343.5582822,0.005575275,Dgb
190,492.0245399,0.000659613,Db
191,284.6625767,0.00050172,Db
192,441.7177914,0.000624983,Db
193,233.1288344,0.004592658,Dgb
194,30.67484663,0.000164698,Db
195,343.5582822,0.000551183,Db
196,315.3374233,0.005341385,Dgb
197,304.2944785,0.005247025,Dgb
198,110.4294479,0.000312492,Db
199,521.4723926,0.006868814,Dgb
200,365.6441718,0.000568624,Db
201,263.803681,0.004885472,Dgb
202,417.1779141,0.006143654,Dgb
203,431.9018405,0.006251131,Dgb
204,344.7852761,0.000552167,Db
205,548.4662577,0.007044352,Dgb
206,319.0184049,0.000531134,Db
207,244.1717791,0.004700173,Dgb
208,483.4355828,0.006613562,Dgb
209,35.58282209,0.000177385,Db
210,271.1656442,0.004953172,Dgb
211,403.6809816,0.006043454,Dgb
212,119.0184049,0.003281506,Dgb
213,117.791411,0.003264547,Dgb
214,468.7116564,0.006512069,Dgb
215,519.0184049,0.006852633,Dgb
216,4.90797546,6.59E-05,Db
217,558.2822086,0.000702624,Db
218,29.44785276,0.001632273,Dgb
219,536.196319,0.000688586,Db
220,268.7116564,0.00048746,Db
221,428.2208589,0.000615361,Db
222,148.4662577,0.000362335,Db
223,565.6441718,0.000707241,Db
224,226.993865,0.000448026,Db
225,22.08588957,0.00141359,Dgb
226,175.4601227,0.00398433,Dgb
227,359.5092025,0.000563834,Db
228,348.4662577,0.000555107,Db
229,355.8282209,0.00567396,Dgb
230,474.8466258,0.006554549,Dgb
231,579.1411043,0.007238662,Dgb
232,558.2822086,0.007107109,Dgb
233,326.3803681,0.000537227,Db
234,29.44785276,0.00016137,Db
235,293.2515337,0.000509233,Db
236,480.9815951,0.006596755,Dgb
237,564.4171779,0.000706474,Db
238,369.3251534,0.000571479,Db
239,234.3558282,0.004604728,Dgb
240,487.1165644,0.000656315,Db
241,469.9386503,0.000644639,Db
242,52.7607362,0.000215999,Db
243,509.202454,0.006787524,Dgb
244,67.48466258,0.002470977,Dgb
245,107.9754601,0.003125566,Dgb
246,101.8404908,0.003035473,Dgb
247,18.40490798,0.001290425,Dgb
248,229.4478528,0.004556256,Dgb
249,458.8957055,0.006443519,Dgb
250,501.8404908,0.006738278,Dgb
251,116.5644172,0.000321055,Db
252,106.7484663,0.000307239,Db
253,41.71779141,0.000192069,Db
254,38.03680982,0.000183399,Db
255,214.7239264,0.004407642,Dgb
256,274.8466258,0.000492994,Db
257,228.2208589,0.004544057,Dgb
258,106.7484663,0.003107756,Dgb
259,261.3496933,0.000480736,Db
260,352.1472393,0.005644536,Dgb
261,596.3190184,0.000726165,Db
262,34.35582822,0.0001743,Db
263,484.6625767,0.00065466,Db
264,42.94478528,0.001971157,Dgb
265,134.9693252,0.000345473,Db
266,317.791411,0.000530111,Db
267,557.0552147,0.000701851,Db
268,253.9877301,0.000473917,Db
269,8.588957055,0.000881528,Dgb
270,390.1840491,0.005941565,Dgb
271,316.5644172,0.000529087,Db
272,15.95092025,0.000118765,Db
273,363.190184,0.005732356,Dgb
274,39.26380368,0.000186334,Db
275,49.0797546,0.002107256,Dgb
276,166.8711656,0.003885588,Dgb
277,266.2576687,0.000485229,Db
278,314.1104294,0.005330983,Dgb
279,123.9263804,0.000331038,Db
280,444.1717791,0.000626717,Db
281,305.5214724,0.000519777,Db
282,565.6441718,0.007153816,Dgb
283,517.791411,0.000676665,Db
284,62.57668712,0.000235235,Db
285,600,0.007367866,Dgb
286,131.2883436,0.000340729,Db
287,368.0981595,0.000570529,Db
288,501.8404908,0.00066616,Db
289,262.5766871,0.000481864,Db
290,361.9631902,0.000565755,Db
291,463.803681,0.000640417,Db
292,155.8282209,0.00375482,Dgb
293,554.601227,0.000700304,Db
294,187.7300613,0.004121288,Dgb
295,330.0613497,0.000540248,Db
296,123.9263804,0.003348482,Dgb
297,186.5030675,0.004107798,Dgb
298,50.30674847,0.000210916,Db
299,72.39263804,0.000253013,Db
300,224.5398773,0.000445597,Db
301,494.4785276,0.000661256,Db
302,350.9202454,0.000557058,Db
303,63.80368098,0.002402641,Dgb
304,537.4233129,0.000689373,Db
305,371.7791411,0.005799741,Dgb
306,450.3067485,0.00063103,Db
307,60.12269939,0.002332305,Dgb
308,359.5092025,0.005703233,Dgb
309,280.9815951,0.005042026,Dgb
310,96.93251534,0.002961426,Dgb
311,584.0490798,0.000718655,Db
312,534.9693252,0.006957137,Dgb
313,144.7852761,0.000357815,Db
314,299.3865031,0.000514532,Db
315,296.9325153,0.000512419,Db
316,88.34355828,0.002827181,Dgb
317,55.21472393,0.002235083,Dgb
318,409.8159509,0.000601992,Db
319,397.5460123,0.000592911,Db
320,499.3865031,0.006721783,Dgb
321,395.0920245,0.005978817,Dgb
322,182.8220859,0.000402078,Db
323,204.9079755,0.000425672,Db
324,252.7607362,0.000472771,Db
